Source,Destination,Source Coordinates,Destination Coordinates,Total Distance (m),Total Duration (seconds),Onroad Duration (seconds),Charging Duration (seconds),Number of Stops,Distance (km)
Chandigarh,Pune,"30.7334421,76.7797143","18.521428,73.8544541",1828884,138537,95314,43223,14,1828.884
Chandigarh,Shimla,"30.7334421,76.7797143","31.1041526,77.1709729",109775,12525,9958,2567,1,109.775
Chennai,Ahmedabad,"13.0836939,80.270186","23.0216238,72.5797068",1836232,140930,96543,44387,14,1836.232
Chennai,Amritsar,"13.0836939,80.270186","31.6343083,74.8736788",3205924,248320,166166,82154,25,3205.924
Chennai,Bengaluru,"13.0836939,80.270186","12.9767936,77.590082",337241,28543,20840,7703,2,337.241
Chennai,Bhubaneswar,"13.0836939,80.270186","20.2602964,85.8394521",3527699,320696,307125,13571,6,3527.699
Chennai,Calicut,"13.0836939,80.270186","11.2450558,75.7754716",720057,59712,41031,18681,6,720.057
Chennai,Chandigarh,"13.0836939,80.270186","30.7334421,76.7797143",2995722,232852,155378,77474,23,2995.722
Chennai,Coimbatore,"13.0836939,80.270186","11.0018115,76.9628425",537445,42864,28185,14679,5,537.445
Chennai,Delhi,"13.0836939,80.270186","28.6273928,77.1716954",2744849,215666,143871,71795,21,2744.849
Chennai,Goa,"13.0836939,80.270186","15.3004543,74.0855134",909718,76977,52098,24879,7,909.718
Chennai,Hubli,"13.0836939,80.270186","15.3518378,75.1379848",752932,57588,38247,19341,6,752.932
Chennai,Hyderabad,"13.0836939,80.270186","17.360589,78.4740613",632273,49493,34132,15361,5,632.273
Chennai,Jaipur,"13.0836939,80.270186","26.9154576,75.8189817",2489655,199441,131950,67491,21,2489.655
Chennai,Jodhpur,"13.0836939,80.270186","26.2967719,73.0351433",2309574,179005,122821,56184,18,2309.574
Chennai,Kadapa,"13.0836939,80.270186","14.4752936,78.8216861",266806,24571,19539,5032,2,266.806
Chennai,Kannur,"13.0836939,80.270186","11.8763836,75.3737973",657870,55149,41580,13569,5,657.87
Chennai,Kochi,"13.0836939,80.270186","9.9674277,76.2454436",733698,57359,38681,18678,6,733.698
Chennai,Kolkata,"13.0836939,80.270186","22.5726459,88.3638953",3060572,278827,277627,1200,2,3060.572
Chennai,Madurai,"13.0836939,80.270186","9.9261153,78.1140983",467444,35501,24439,11062,3,467.444
Chennai,Mangalore,"13.0836939,80.270186","12.8698101,74.8430082",731397,65089,46160,18929,6,731.397
Chennai,Mumbai,"13.0836939,80.270186","19.08157715,72.88662753964906",1326907,104077,70974,33103,11,1326.907
Chennai,Mysore,"13.0836939,80.270186","12.3051828,76.6553609",478359,37500,28195,9305,4,478.359
Chennai,Nagpur,"13.0836939,80.270186","21.1498134,79.0820556",1144050,89875,58715,31160,9,1144.05
Chennai,Port Blair,"13.0836939,80.270186","11.6645348,92.7390448",1521218,139282,138682,600,1,1521.218
Chennai,Pune,"13.0836939,80.270186","18.521428,73.8544541",1179902,93678,62156,31522,9,1179.902
Chennai,Raipur,"13.0836939,80.270186","21.2380912,81.6336993",1431583,114622,74673,39949,11,1431.583
Chennai,Rajahmundry,"13.0836939,80.270186","17.0050454,81.7804732",611700,45763,31331,14432,5,611.7
Chennai,Ranchi,"13.0836939,80.270186","23.3700501,85.3250387",3492387,315279,303686,11593,5,3492.387
Chennai,Thiruvananthapuram,"13.0836939,80.270186","8.4882267,76.947551",951339,82824,56760,26064,8,951.339
Chennai,Tiruchirappalli,"13.0836939,80.270186","10.804973,78.6870296",334974,25051,18187,6864,2,334.974
Chennai,Tuticorin,"13.0836939,80.270186","8.8052602,78.1452745",616238,46985,31851,15134,4,616.238
Chennai,Udaipur,"13.0836939,80.270186","24.578721,73.6862571",2089029,162864,110253,52611,17,2089.029
Chennai,Vadodara,"13.0836939,80.270186","22.2973142,73.1942567",1722974,132225,90700,41525,13,1722.974
Chennai,Vijayawada,"13.0836939,80.270186","16.5087573,80.6185089",454960,33553,23343,10210,4,454.96
Chennai,Visakhapatnam,"13.0836939,80.270186","17.7231276,83.3012842",819744,64045,43387,20658,6,819.744
Coimbatore,Ahmedabad,"11.0018115,76.9628425","23.0216238,72.5797068",1881709,141600,95863,45737,15,1881.709
Coimbatore,Chennai,"11.0018115,76.9628425","13.0836939,80.270186",528994,40572,27027,13545,4,528.994
Coimbatore,Coimbatore,"11.0018115,76.9628425","11.0018115,76.9628425",0,0,0,0,0,0.0
Coimbatore,Delhi,"11.0018115,76.9628425","28.6273928,77.1716954",2796291,217132,143803,73329,23,2796.291
Coimbatore,Hyderabad,"11.0018115,76.9628425","17.360589,78.4740613",934504,68438,45741,22697,7,934.504
Coimbatore,Kochi,"11.0018115,76.9628425","9.9674277,76.2454436",193991,16832,13817,3015,1,193.991
Coimbatore,Kolkata,"11.0018115,76.9628425","22.5726459,88.3638953",3588800,319509,303802,15707,7,3588.8
Coimbatore,Mangalore,"11.0018115,76.9628425","12.8698101,74.8430082",410989,41130,31676,9454,4,410.989
Coimbatore,Mumbai,"11.0018115,76.9628425","19.08157715,72.88662753964906",1371400,104000,69903,34097,11,1371.4
Coimbatore,Pune,"11.0018115,76.9628425","18.521428,73.8544541",1225379,93842,61424,32418,10,1225.379
Dehradun,Ahmedabad,"30.3255646,78.0436813","23.0216238,72.5797068",1188901,95035,64897,30138,11,1188.901
Dehradun,Amritsar,"30.3255646,78.0436813","31.6343083,74.8736788",434953,30999,23202,7797,3,434.953
Dehradun,Delhi,"30.3255646,78.0436813","28.6273928,77.1716954",276069,20737,16430,4307,2,276.069
Dehradun,Hyderabad,"30.3255646,78.0436813","17.360589,78.4740613",2411869,190184,128343,61841,21,2411.869
Dehradun,Jaipur,"30.3255646,78.0436813","26.9154576,75.8189817",528346,37612,28687,8925,4,528.346
Dehradun,Jammu,"30.3255646,78.0436813","32.7185614,74.8580917",569279,41694,30042,11652,3,569.279
Dehradun,Kolkata,"30.3255646,78.0436813","22.5726459,88.3638953",5993441,505539,425245,80294,29,5993.441
Dehradun,Mumbai,"30.3255646,78.0436813","19.08157715,72.88662753964906",1702052,132072,89780,42292,14,1702.052
Dehradun,Pantnagar,"30.3255646,78.0436813","29.028405,79.4832094",414651,32556,22957,9599,3,414.651
Delhi,Agra,"28.6273928,77.1716954","27.1752554,78.0098161",220570,15604,12391,3213,1,220.57
Delhi,Ahmedabad,"28.6273928,77.1716954","23.0216238,72.5797068",998350,79225,54767,24458,7,998.35
Delhi,Amritsar,"28.6273928,77.1716954","31.6343083,74.8736788",464132,33435,24944,8491,4,464.132
Delhi,Bhatinda,"28.6273928,77.1716954","30.25,75.0",372045,27910,19783,8127,2,372.045
Delhi,Bhubaneswar,"28.6273928,77.1716954","20.2602964,85.8394521",6302585,538309,450835,87474,30,6302.585
Delhi,Calicut,"28.6273928,77.1716954","11.2450558,75.7754716",2738554,227301,152398,74903,20,2738.554
Delhi,Chandigarh,"28.6273928,77.1716954","30.7334421,76.7797143",253992,19679,16148,3531,2,253.992
Delhi,Chennai,"28.6273928,77.1716954","13.0836939,80.270186",2759452,218502,146071,72431,22,2759.452
Delhi,Coimbatore,"28.6273928,77.1716954","11.0018115,76.9628425",2800442,218283,144967,73316,22,2800.442
Delhi,Dehradun,"28.6273928,77.1716954","30.3255646,78.0436813",272998,21805,16840,4965,2,272.998
Delhi,Goa,"28.6273928,77.1716954","15.3004543,74.0855134",2027064,162230,112277,49953,16,2027.064
Delhi,Gwalior,"28.6273928,77.1716954","26.2037247,78.1573628",327941,24801,19630,5171,2,327.941
Delhi,Hyderabad,"28.6273928,77.1716954","17.360589,78.4740613",2244498,175770,120920,54850,18,2244.498
Delhi,Jaipur,"28.6273928,77.1716954","26.9154576,75.8189817",262341,19736,16489,3247,1,262.341
Delhi,Jammu,"28.6273928,77.1716954","32.7185614,74.8580917",598458,44187,31838,12349,4,598.458
Delhi,Jodhpur,"28.6273928,77.1716954","26.2967719,73.0351433",707008,55042,40922,14120,5,707.008
Delhi,Kannur,"28.6273928,77.1716954","11.8763836,75.3737973",2684902,217343,145276,72067,21,2684.902
Delhi,Kochi,"28.6273928,77.1716954","9.9674277,76.2454436",2996633,233423,156113,77310,23,2996.633
Delhi,Kolkata,"28.6273928,77.1716954","22.5726459,88.3638953",5727968,485604,412053,73551,25,5727.968
Delhi,Ludhiana,"28.6273928,77.1716954","30.9090157,75.851601",318679,22999,18536,4463,2,318.679
Delhi,Madurai,"28.6273928,77.1716954","9.9261153,78.1140983",2916807,230475,153468,77007,23,2916.807
Delhi,Mangalore,"28.6273928,77.1716954","12.8698101,74.8430082",2461560,206053,136168,69885,19,2461.56
Delhi,Mumbai,"28.6273928,77.1716954","19.08157715,72.88662753964906",1534618,119383,83678,35705,11,1534.618
Delhi,Nagpur,"28.6273928,77.1716954","21.1498134,79.0820556",2690385,210683,142423,68260,20,2690.385
Delhi,Pantnagar,"28.6273928,77.1716954","29.028405,79.4832094",267254,22385,15492,6893,2,267.254
Delhi,Port Blair,"28.6273928,77.1716954","11.6645348,92.7390448",4291906,352309,279451,72858,25,4291.906
Delhi,Pune,"28.6273928,77.1716954","18.521428,73.8544541",1676185,129019,91403,37616,12,1676.185
Delhi,Raipur,"28.6273928,77.1716954","21.2380912,81.6336993",2977935,235080,158677,76403,22,2977.935
Delhi,Rajkot,"28.6273928,77.1716954","22.3053263,70.8028377",1210801,95867,67612,28255,8,1210.801
Delhi,Ranchi,"28.6273928,77.1716954","23.3700501,85.3250387",6263114,532973,447131,85842,29,6263.114
Delhi,Shimla,"28.6273928,77.1716954","31.1041526,77.1709729",358385,32151,24378,7773,3,358.385
Delhi,Tirupati,"28.6273928,77.1716954","13.6316368,79.4231711",2780339,216423,147476,68947,21,2780.339
Delhi,Udaipur,"28.6273928,77.1716954","24.578721,73.6862571",666916,51549,36754,14795,4,666.916
Delhi,Vadodara,"28.6273928,77.1716954","22.2973142,73.1942567",1025283,85045,57403,27642,7,1025.283
Delhi,Vijayawada,"28.6273928,77.1716954","16.5087573,80.6185089",2536834,196308,135031,61277,20,2536.834
Delhi,Visakhapatnam,"28.6273928,77.1716954","17.7231276,83.3012842",2904402,226053,154404,71649,23,2904.402
Dibrugarh,Dimapur,"27.4844597,94.9019447","25.911744,93.721703",274382,29314,23211,6103,2,274.382
Dibrugarh,Jorhat,"27.4844597,94.9019447","26.7577925,94.2079645",137265,13291,11864,1427,1,137.265
Goa,Ahmedabad,"15.3004543,74.0855134","23.0216238,72.5797068",1153767,90842,64664,26178,8,1153.767
Goa,Amritsar,"15.3004543,74.0855134","31.6343083,74.8736788",2522273,197204,136446,60758,18,2522.273
Goa,Bengaluru,"15.3004543,74.0855134","12.9767936,77.590082",613010,54499,34922,19577,6,613.01
Goa,Chandigarh,"15.3004543,74.0855134","30.7334421,76.7797143",2312095,182844,126363,56481,17,2312.095
Goa,Chennai,"15.3004543,74.0855134","13.0836939,80.270186",941929,80988,54980,26008,7,941.929
Goa,Delhi,"15.3004543,74.0855134","28.6273928,77.1716954",2068251,166892,115134,51758,15,2068.251
Goa,Hubli,"15.3004543,74.0855134","15.3518378,75.1379848",271724,24447,19336,5111,2,271.724
Goa,Hyderabad,"15.3004543,74.0855134","17.360589,78.4740613",788877,69433,47652,21781,6,788.877
Goa,Kannur,"15.3004543,74.0855134","11.8763836,75.3737973",871623,81166,54474,26692,7,871.623
Goa,Kochi,"15.3004543,74.0855134","9.9674277,76.2454436",1179251,99518,67229,32289,10,1179.251
Goa,Kolkata,"15.3004543,74.0855134","22.5726459,88.3638953",4001678,360690,332094,28596,10,4001.678
Goa,Mumbai,"15.3004543,74.0855134","19.08157715,72.88662753964906",637334,50225,36657,13568,4,637.334
Goa,Mysore,"15.3004543,74.0855134","12.3051828,76.6553609",712557,61395,39594,21801,5,712.557
Goa,Nagpur,"15.3004543,74.0855134","21.1498134,79.0820556",1228610,105559,69202,36357,8,1228.61
Goa,Pune,"15.3004543,74.0855134","18.521428,73.8544541",493000,40121,29470,10651,3,493.0
Guwahati,Tezpur,"26.1805978,91.753943","26.61695705,92.76500717365028",188641,15395,12755,2640,1,188.641
Hubli,Ahmedabad,"15.3518378,75.1379848","23.0216238,72.5797068",1088986,82045,56742,25303,8,1088.986
Hubli,Chennai,"15.3518378,75.1379848","13.0836939,80.270186",757601,58572,38693,19879,6,757.601
Hubli,Goa,"15.3518378,75.1379848","15.3004543,74.0855134",157343,15695,13481,2214,1,157.343
Hubli,Hyderabad,"15.3518378,75.1379848","17.360589,78.4740613",724846,61371,39407,21964,6,724.846
Hubli,Kannur,"15.3518378,75.1379848","11.8763836,75.3737973",682794,57500,38332,19168,5,682.794
Hubli,Kochi,"15.3518378,75.1379848","9.9674277,76.2454436",994810,76166,50515,25651,8,994.81
Hubli,Mangalore,"15.3518378,75.1379848","12.8698101,74.8430082",459753,46909,29387,17522,3,459.753
Hubli,Mumbai,"15.3518378,75.1379848","19.08157715,72.88662753964906",572553,42383,29579,12804,4,572.553
Hubli,Tirupati,"15.3518378,75.1379848","13.6316368,79.4231711",671467,49122,31732,17390,6,671.467
