Source,Destination,Source Coordinates,Destination Coordinates,Total Distance (m),Total Duration (seconds),Onroad Duration (seconds),Charging Duration (seconds),Number of Stops,Distance (km)
Pune,Mumbai,"18.521428,73.8544541","19.08157715,72.88662753964906",149114,11660,10575,1085,1,149.114
Pune,Nagpur,"18.521428,73.8544541","21.1498134,79.0820556",1010381,81795,51716,30079,9,1010.381
Pune,Raipur,"18.521428,73.8544541","21.2380912,81.6336993",1297914,106946,68008,38938,11,1297.914
Raipur,Ahmedabad,"21.2380912,81.6336993","23.0216238,72.5797068",1968167,156867,103949,52918,15,1968.167
Raipur,Bhubaneswar,"21.2380912,81.6336993","20.2602964,85.8394521",4815978,424624,369709,54915,16,4815.978
Raipur,Chennai,"21.2380912,81.6336993","13.0836939,80.270186",1414231,112651,73118,39533,10,1414.231
Raipur,Delhi,"21.2380912,81.6336993","28.6273928,77.1716954",2882649,230463,152534,77929,22,2882.649
Raipur,Hyderabad,"21.2380912,81.6336993","17.360589,78.4740613",782825,63992,43015,20977,5,782.825
Raipur,Kolkata,"21.2380912,81.6336993","22.5726459,88.3638953",4344653,379779,338409,41370,12,4344.653
Raipur,Mumbai,"21.2380912,81.6336993","19.08157715,72.88662753964906",1451734,118159,77858,40301,11,1451.734
Raipur,Nagpur,"21.2380912,81.6336993","21.1498134,79.0820556",286865,23477,17743,5734,2,286.865
Raipur,Pune,"21.2380912,81.6336993","18.521428,73.8544541",1302257,107625,69192,38433,10,1302.257
Raipur,Ranchi,"21.2380912,81.6336993","23.3700501,85.3250387",4771390,419539,365452,54087,15,4771.39
Raipur,Visakhapatnam,"21.2380912,81.6336993","17.7231276,83.3012842",1417802,113804,74348,39456,9,1417.802
Rajahmundry,Bengaluru,"17.0050454,81.7804732","12.9767936,77.590082",822404,65323,43448,21875,5,822.404
Rajahmundry,Chennai,"17.0050454,81.7804732","13.0836939,80.270186",611017,46394,31569,14825,4,611.017
Rajahmundry,Hyderabad,"17.0050454,81.7804732","17.360589,78.4740613",437188,33543,22918,10625,4,437.188
Rajahmundry,Tirupati,"17.0050454,81.7804732","13.6316368,79.4231711",572203,44105,30270,13835,4,572.203
Rajahmundry,Visakhapatnam,"17.0050454,81.7804732","17.7231276,83.3012842",210844,15580,12357,3223,1,210.844
Rajkot,Delhi,"22.3053263,70.8028377","28.6273928,77.1716954",1134194,93014,65882,27132,9,1134.194
Rajkot,Mumbai,"22.3053263,70.8028377","19.08157715,72.88662753964906",701912,48597,35939,12658,4,701.912
Rajkot,Udaipur,"22.3053263,70.8028377","24.578721,73.6862571",477843,34634,27192,7442,3,477.843
Ranchi,Bengaluru,"23.3700501,85.3250387","12.9767936,77.590082",3833342,347460,326418,21042,7,3833.342
Ranchi,Bhubaneswar,"23.3700501,85.3250387","20.2602964,85.8394521",900365,83867,58887,24980,6,900.365
Ranchi,Chennai,"23.3700501,85.3250387","13.0836939,80.270186",3504215,318233,305032,13201,5,3504.215
Ranchi,Delhi,"23.3700501,85.3250387","28.6273928,77.1716954",6171916,533629,445829,87800,29,6171.916
Ranchi,Hyderabad,"23.3700501,85.3250387","17.360589,78.4740613",4010517,359608,329338,30270,10,4010.517
Ranchi,Kolkata,"23.3700501,85.3250387","22.5726459,88.3638953",447357,39907,29289,10618,3,447.357
Ranchi,Mumbai,"23.3700501,85.3250387","19.08157715,72.88662753964906",4754120,415681,367623,48058,16,4754.12
Ranchi,Raipur,"23.3700501,85.3250387","21.2380912,81.6336993",4798371,422907,369292,53615,16,4798.371
Shimla,Chandigarh,"31.1041526,77.1709729","30.7334421,76.7797143",112926,11802,10309,1493,1,112.926
Shimla,Delhi,"31.1041526,77.1709729","28.6273928,77.1716954",352625,28697,22331,6366,3,352.625
Thiruvananthapuram,Bengaluru,"8.4882267,76.947551","12.9767936,77.590082",779040,65847,45974,19873,6,779.04
Thiruvananthapuram,Chennai,"8.4882267,76.947551","13.0836939,80.270186",940367,81558,55130,26428,7,940.367
Thiruvananthapuram,Hyderabad,"8.4882267,76.947551","17.360589,78.4740613",1354868,108865,74619,34246,10,1354.868
Thiruvananthapuram,Kannur,"8.4882267,76.947551","11.8763836,75.3737973",512991,49896,37577,12319,4,512.991
Thiruvananthapuram,Kochi,"8.4882267,76.947551","9.9674277,76.2454436",259916,26279,20906,5373,2,259.916
Thiruvananthapuram,Mumbai,"8.4882267,76.947551","19.08157715,72.88662753964906",1775213,141925,92958,48967,13,1775.213
Tiruchirappalli,Chennai,"10.804973,78.6870296","13.0836939,80.270186",333352,24497,17609,6888,2,333.352
Tiruchirappalli,Hyderabad,"10.804973,78.6870296","17.360589,78.4740613",915988,69677,47438,22239,7,915.988
Tiruchirappalli,Kochi,"10.804973,78.6870296","9.9674277,76.2454436",514524,39391,28567,10824,3,514.524
Tiruchirappalli,Madurai,"10.804973,78.6870296","9.9261153,78.1140983",152476,10419,8839,1580,1,152.476
Tiruchirappalli,Tiruchirappalli,"10.804973,78.6870296","10.804973,78.6870296",0,0,0,0,0,0.0
Tirupati,Belgaum,"13.6316368,79.4231711","15.8572666,74.5069343",764583,58760,37277,21483,6,764.583
Tirupati,Delhi,"13.6316368,79.4231711","28.6273928,77.1716954",2660503,207048,137520,69528,20,2660.503
Tirupati,Hubli,"13.6316368,79.4231711","15.3518378,75.1379848",668725,48333,31555,16778,5,668.725
Tirupati,Hyderabad,"13.6316368,79.4231711","17.360589,78.4740613",554827,41715,29234,12481,4,554.827
Tirupati,Kochi,"13.6316368,79.4231711","9.9674277,76.2454436",702123,51906,35358,16548,4,702.123
Tirupati,Kolhapur,"13.6316368,79.4231711","16.7028412,74.2405329",870561,66137,42642,23495,7,870.561
Tirupati,Mumbai,"13.6316368,79.4231711","19.08157715,72.88662753964906",1241577,93881,63407,30474,9,1241.577
Tirupati,Rajahmundry,"13.6316368,79.4231711","17.0050454,81.7804732",570306,43303,29892,13411,4,570.306
Tirupati,Vijayawada,"13.6316368,79.4231711","16.5087573,80.6185089",413114,30960,21794,9166,3,413.114
Tirupati,Visakhapatnam,"13.6316368,79.4231711","17.7231276,83.3012842",778073,61648,42016,19632,5,778.073
Udaipur,Ahmedabad,"24.578721,73.6862571","23.0216238,72.5797068",255958,20219,14404,5815,2,255.958
Udaipur,Chennai,"24.578721,73.6862571","13.0836939,80.270186",2091144,164724,110517,54207,17,2091.144
Udaipur,Delhi,"24.578721,73.6862571","28.6273928,77.1716954",663398,50198,34633,15565,5,663.398
Udaipur,Hyderabad,"24.578721,73.6862571","17.360589,78.4740613",1480681,116384,78173,38211,13,1480.681
Udaipur,Jaipur,"24.578721,73.6862571","26.9154576,75.8189817",401255,32312,21589,10723,3,401.255
Udaipur,Mumbai,"24.578721,73.6862571","19.08157715,72.88662753964906",776224,58828,40217,18611,6,776.224
Udaipur,Rajkot,"24.578721,73.6862571","22.3053263,70.8028377",477831,35541,26318,9223,4,477.831
Vadodara,Chennai,"22.2973142,73.1942567","13.0836939,80.270186",1732514,133425,89979,43446,13,1732.514
Vadodara,Delhi,"22.2973142,73.1942567","28.6273928,77.1716954",1021106,84541,58367,26174,9,1021.106
Vadodara,Hyderabad,"22.2973142,73.1942567","17.360589,78.4740613",1120352,86983,60072,26911,9,1120.352
Vadodara,Jaipur,"22.2973142,73.1942567","26.9154576,75.8189817",764195,64251,42195,22056,7,764.195
Vadodara,Kolkata,"22.2973142,73.1942567","22.5726459,88.3638953",4707090,403457,357466,45991,17,4707.09
Vadodara,Mumbai,"22.2973142,73.1942567","19.08157715,72.88662753964906",410472,30554,22792,7762,2,410.472
Vadodara,Nagpur,"22.2973142,73.1942567","21.1498134,79.0820556",1566239,121913,81587,40326,11,1566.239
